period,periodYear,periodQuarter,periodOrder,sourceObject,sourceGrain,ageGroup,unitJoinKey,unitCode,unitZipCode,unitName,coordinatingCouncil,stakeOrDistrict,state,city,snapshotDate,members,participating,males,females,notParticipating,participatingMales,participatingFemales,sourceParticipationRate,lowParticipationFlag,unitPriorityIndex,cityPriorityIndex,isolationVsPerformance,stakeDistanceTier,councilDistanceTier,milesToCouncilCentroid,cityLatitude,cityLongitude
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,columbia maryland stake|ellicott city ward,,,Ellicott City Ward,Maryland Baltimore,Columbia Maryland Stake,Maryland,Ellicott City,2025 Q3,123.0,20.0,,,,,,0.16260161995887756,0,0.17001082003116608,0.30124208331108093,Low isolation / Low participation,<20 mi,20�40 mi,31.293752670288086,39.27573776245117,-76.83174133300781
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,columbia maryland stake|owings mills branch,,,Owings Mills Branch,Maryland Baltimore,Columbia Maryland Stake,Maryland,Owings Mills,2025 Q3,41.0,9.0,,,,,,0.2195121943950653,0,0.039534106850624084,0.2362482100725174,Low isolation / High participation,20�40 mi,20�40 mi,30.325590133666992,39.41484451293945,-76.79182434082031
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,columbia maryland stake|patapsco branch (spanish),,,Patapsco Branch (Spanish),Maryland Baltimore,Columbia Maryland Stake,Maryland,Patapsco,2025 Q3,15.0,5.0,,,,,,0.3333333432674408,0,0.032488852739334106,0.23595628142356873,Low isolation / High participation,20�40 mi,20�40 mi,24.921358108520508,39.53871536254883,-76.89192199707031
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,columbia maryland stake|randallstown branch,,,Randallstown Branch,Maryland Baltimore,Columbia Maryland Stake,Maryland,Randallstown,2025 Q3,68.0,16.0,,,,,,0.23529411852359772,0,0.04010913148522377,0.2399219572544098,Low isolation / High participation,<20 mi,20�40 mi,30.766679763793945,39.36906814575195,-76.79586029052734
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,columbia maryland stake|savage mill ward,,,Savage Mill Ward,Maryland Baltimore,Columbia Maryland Stake,Maryland,Savage Mill,2025 Q3,48.0,7.0,,,,,,0.1458333283662796,0,0.2154357135295868,0.3068990707397461,Low isolation / Low participation,<20 mi,20�40 mi,36.80720520019531,39.135868072509766,-76.8299331665039
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,columbia maryland stake|sykesville branch,,,Sykesville Branch,Maryland Baltimore,Columbia Maryland Stake,Maryland,Sykesville,2025 Q3,30.0,6.0,,,,,,0.20000000298023224,0,0.07265966385602951,0.24845969676971436,Low isolation / Low participation,<20 mi,20�40 mi,22.034770965576172,39.36599349975586,-76.9688720703125
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|brunswick ward,,,Brunswick Ward,Maryland Baltimore,Frederick Maryland Stake,Maryland,Brunswick,2025 Q3,63.0,17.0,,,,,,0.2698412835597992,0,0.024412913247942924,0.24703650176525116,Low isolation / High participation,20�40 mi,<20 mi,18.72651481628418,39.31316375732422,-77.62818908691406
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|catoctin ward,,,Catoctin Ward,Maryland Baltimore,Frederick Maryland Stake,Maryland,Catoctin,2025 Q3,52.0,12.0,,,,,,0.23076923191547394,0,0.01691916212439537,0.24916952848434448,Low isolation / High participation,40�75 mi,<20 mi,12.978251457214355,39.648746490478516,-77.46509552001953
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|damascus ward,,,Damascus Ward,Maryland Baltimore,Frederick Maryland Stake,Maryland,Damascus,2025 Q3,47.0,10.0,,,,,,0.21276596188545227,0,0.036836907267570496,0.24588873982429504,Low isolation / Low participation,<20 mi,<20 mi,16.88605308532715,39.269474029541016,-77.19689178466797
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,frederick maryland stake|frederick 1st ward,,,Frederick 1st Ward,Maryland Baltimore,Frederick Maryland Stake,Maryland,Frederick,2025 Q3,157.0,22.0,,,,,,0.14012739062309265,0,0.18769223988056183,0.359127014875412,Low isolation / Low participation,20�40 mi,<20 mi,5.545164585113525,39.41577911376953,-77.41275787353516
