coordinatingCouncil,stakeOrDistrict,state,city,unitName,members,participating,participationRate,date
New York New York,Plainview New York Stake,New York,Riverhead,Riverhead Ward,104,8,0.07692307692307693,2025-07-01
New York New York,Plainview New York Stake,New York,South Shore,South Shore Ward,299,29,0.09698996655518395,2025-07-01
New York New York,Plainview New York Stake,New York,Terryville,Terryville Ward,160,15,0.09375,2025-07-01
New York New York,Plainview New York Stake,New York,Westbury,Westbury Branch (Spanish),121,10,0.08264462809917356,2025-07-01
New York New York,Westchester New York Stake,New York,Concourse,Concourse Ward (Spanish),188,26,0.13829787234042554,2025-07-01
New York New York,Westchester New York Stake,New York,Kingsbridge,Kingsbridge 1st Ward (Spanish),153,31,0.20261437908496732,2025-07-01
New York New York,Westchester New York Stake,New York,Kingsbridge,Kingsbridge 2nd Ward,436,58,0.13302752293577982,2025-07-01
New York New York,Westchester New York Stake,New York,Kingsbridge,Kingsbridge 3rd Ward (Spanish),118,33,0.2796610169491525,2025-07-01
New York New York,Westchester New York Stake,New York,New Rochelle,New Rochelle 1st Ward (Spanish),123,9,0.07317073170731707,2025-07-01
New York New York,Westchester New York Stake,New York,New Rochelle,New Rochelle 2nd Ward,173,27,0.15606936416184972,2025-07-01
New York New York,Westchester New York Stake,New York,Olmstead,Olmstead 1st Ward (Spanish),77,28,0.36363636363636365,2025-07-01
New York New York,Westchester New York Stake,New York,Olmstead,Olmstead 2nd Ward,420,44,0.10476190476190476,2025-07-01
New York New York,Westchester New York Stake,New York,Westchester,Westchester Ward,186,31,0.16666666666666666,2025-07-01
New York New York,Westchester New York Stake,New York,White Plains,White Plains Branch (Spanish),,,,2025-07-01
New York New York,Westchester New York Stake,New York,Yonkers,Yonkers Ward (Spanish),134,41,0.30597014925373134,2025-07-01
New York New York,Westchester New York Stake,New York,Yorktown,Yorktown Ward,169,32,0.1893491124260355,2025-07-01
New York New York,Woodside New York Stake,New York,Astoria,Astoria Ward,359,34,0.0947075208913649,2025-07-01
New York New York,Woodside New York Stake,New York,Rego Park,Rego Park 1st Ward,191,43,0.225130890052356,2025-07-01
New York New York,Woodside New York Stake,New York,Rego Park,Rego Park 2nd Ward (Spanish),57,29,0.5087719298245614,2025-07-01
New York New York,Woodside New York Stake,New York,Richmond Hill,Richmond Hill 3rd Ward (Spanish),95,20,0.21052631578947367,2025-07-01
New York New York,Woodside New York Stake,New York,Rockaway,Rockaway Branch (Spanish),125,21,0.168,2025-07-01
New York New York,Woodside New York Stake,New York,Woodside,Woodside Ward (Spanish),212,23,0.10849056603773585,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Bridgeton,Bridgeton Branch (Spanish),52,8,0.15384615384615385,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Camden,Camden Ward (Spanish),114,17,0.14912280701754385,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Cape May,Cape May Branch,51,16,0.3137254901960784,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Cherry Hill,Cherry Hill 2nd Ward,,,,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Cherry Hill,Cherry Hill Ward,317,40,0.12618296529968454,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Landis,Landis Branch (Spanish),56,7,0.125,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Linwood,Linwood Ward,194,28,0.14432989690721648,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Medford,Medford Ward,78,10,0.1282051282051282,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Moorestown,Moorestown Ward,191,21,0.1099476439790576,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Pennsauken,Pennsauken Branch,196,20,0.10204081632653061,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Sewell,Sewell Ward,154,19,0.12337662337662338,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Vineland,Vineland Ward,244,17,0.06967213114754098,2025-07-01
Pennsylvania Philadelphia,Cherry Hill New Jersey Stake,New Jersey,Woodstown,Woodstown Ward,110,6,0.05454545454545454,2025-07-01
Pennsylvania Philadelphia,Dover Delaware Stake,Delaware,Camden,Camden Ward,130,33,0.25384615384615383,2025-07-01
Pennsylvania Philadelphia,Dover Delaware Stake,Delaware,Dover,Dover Ward,,,,2025-07-01
Pennsylvania Philadelphia,Dover Delaware Stake,Delaware,Harrington,Harrington Ward,160,32,0.2,2025-07-01
Pennsylvania Philadelphia,Dover Delaware Stake,Delaware,Salisbury,Salisbury Ward,278,51,0.18345323741007194,2025-07-01
Pennsylvania Philadelphia,Dover Delaware Stake,Delaware,Seaford,Seaford Ward,219,32,0.1461187214611872,2025-07-01
Pennsylvania Philadelphia,Dover Delaware Stake,Delaware,Smyrna,Smyrna Ward,160,16,0.1,2025-07-01
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Doyletown,Doylestown Ward,58,12,0.20689655172413793,2025-07-01
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Independence,Independence Ward,301,46,0.15282392026578073,2025-07-01
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Jarrettown,Jarrettown Ward,95,14,0.14736842105263157,2025-07-01
Pennsylvania Philadelphia,Philadelphia Pennsylvania Stake,Pennsylvania,Logan,Logan Ward,535,22,0.041121495327102804,2025-07-01
